"","participant_id","structure_condition","load_condition","method","statistic","N","mean","sd","p.value","p.approx","is.unique.max","alternative","z_score","time"
"1","1","unstructured","load","pearson",-0.0450605909059333,36,-0.00166724186351953,0.167249516672615,0.569430569430569,0.602357037597575,FALSE,"greater",-0.259452761991264,"output"
"2","2","unstructured","no load","pearson",0.399680383488716,36,-0.00303757091451424,0.163267900108772,0.004995004995005,0.00681997407478056,FALSE,"greater",2.4666082808374,"output"
"3","3","unstructured","load","pearson",0.231221440287556,36,0.00705254080400655,0.17274330951683,0.112887112887113,0.0971953146486738,FALSE,"greater",1.29769946002864,"output"
"4","4","structured","no load","pearson",0.539427815150634,36,-0.00921285926402004,0.186709701687245,0.00899100899100899,0.0016491880958598,FALSE,"greater",2.93846902146347,"output"
"5","5","structured","no load","pearson",0.636523949664168,36,-0.00087103277322465,0.195348045679967,0.003996003996004,0.000551453437512345,FALSE,"greater",3.26286848797873,"output"
"6","6","partial","load","pearson",0.500065049112355,36,-0.000322622612330552,0.168979528384646,0.002997002997003,0.00153205266354836,FALSE,"greater",2.96123250258847,"output"
"7","7","unstructured","no load","pearson",0.519926425607515,36,-0.0123105160127715,0.188379274034876,0.004995004995005,0.00236146700038363,FALSE,"greater",2.82534766283126,"output"
"8","8","structured","load","pearson",0.904534033733291,36,0.0020770781515357,0.204025826486382,0.000999000999000999,0.00000486138727307821,TRUE,"greater",4.42324862064455,"output"
"9","9","structured","load","pearson",0.816496580927726,36,0.00244948974278318,0.175954952560352,0.000999000999000999,0.0000018599177344844,TRUE,"greater",4.62645171016557,"output"
"10","10","structured","load","pearson",0.928072450483609,36,0.00374129206601205,0.186159600488705,0.000999000999000999,0.000000343042222805026,TRUE,"greater",4.96526182904911,"output"
"11","11","unstructured","load","pearson",-0.180613942312638,36,0.00831192734520408,0.171516507807973,0.859140859140859,0.864661001014912,FALSE,"greater",-1.10150254382138,"output"
"12","12","structured","load","pearson",0.33252373472863,36,-0.0156216150325671,0.187938566163205,0.0559440559440559,0.0319811679451415,FALSE,"greater",1.85244229999536,"output"
"13","13","unstructured","no load","pearson",0.471671984370446,36,-0.00424504785933402,0.169265507391403,0.00699300699300699,0.00246432965165809,FALSE,"greater",2.81165985654294,"output"
"14","14","structured","no load","pearson",0.833359579639172,36,-0.00734150105872604,0.192645655463707,0.000999000999000999,0.00000638597010721689,TRUE,"greater",4.36397633091849,"output"
"15","15","unstructured","no load","pearson",0.555423187650127,36,-0.00242690935005356,0.191675249189566,0.004995004995005,0.00180487893750689,FALSE,"greater",2.91039192258188,"output"
"16","16","structured","no load","pearson",0.838548160233883,36,-0.00693857497291566,0.190692045413405,0.000999000999000999,0.00000462973793805831,TRUE,"greater",4.43378082905268,"output"
"17","17","partial","load","pearson",0.363421892155816,36,-0.00207669652660466,0.154587814690717,0.00899100899100899,0.00903104515797345,FALSE,"greater",2.36434281326552,"output"
"18","18","unstructured","load","pearson",0.173190099562313,36,0.00590883869094949,0.126715035364685,0.247752247752248,0.0933945692556649,FALSE,"greater",1.32013742796921,"output"
"19","19","partial","load","pearson",0.520435258684233,36,-0.00146946425981431,0.195273058481401,0.00699300699300699,0.00376226610671391,FALSE,"greater",2.6726919064145,"output"
"20","20","unstructured","load","pearson",0.340502612303499,36,-0.00893819357296686,0.181314323042674,0.027972027972028,0.0269732869269492,FALSE,"greater",1.92726531479933,"output"
"21","21","structured","no load","pearson",0.423414066048915,36,-0.00143084753354461,0.163903315485699,0.00599400599400599,0.00477035235659006,FALSE,"greater",2.59204587975238,"output"
